Date,Open,High,Low,Close,Adj Close ,Volume
"Apr 17, 2025",156.61,157.07,150.9,153.36,153.36,19465200
"Apr 16, 2025",155.47,158.18,153.91,155.5,155.5,16921500
"Apr 15, 2025",161.57,162.05,157.65,158.68,158.68,15690800
"Apr 14, 2025",162.31,164.03,159.92,161.47,161.47,18255900
"Apr 11, 2025",155.59,159.86,155.59,159.4,159.4,22582000
"Apr 10, 2025",158.76,160.03,152.2,155.37,155.37,35270500
"Apr 9, 2025",146.33,161.87,145.81,161.06,161.06,46479500
"Apr 8, 2025",153.57,154.44,145.21,146.58,146.58,35304400
"Apr 7, 2025",143.39,154.93,142.66,149.24,149.24,47823000
"Apr 4, 2025",149.9,153.09,147.54,147.74,147.74,39832200
"Apr 3, 2025",152.84,154.69,152.18,152.63,152.63,28416100
"Apr 2, 2025",156.96,160.27,156.53,158.86,158.86,17113300
"Apr 1, 2025",155.3,160.08,155.26,158.88,158.88,20111400
"Mar 31, 2025",154.81,157.13,152.21,156.23,156.23,33591600
"Mar 28, 2025",162.36,163.81,155.34,156.06,156.06,34866500
"Mar 27, 2025",166.71,167.44,163.85,164.08,164.08,21571200
"Mar 26, 2025",171.3,171.94,166.86,167.14,167.14,22498000
"Mar 25, 2025",171.18,172.91,170.55,172.79,172.79,13841600
"Mar 24, 2025",169.26,170.5,167.44,169.93,169.93,18742800
"Mar 21, 2025",163.38,166.47,163.03,166.25,166.25,29882100
"Mar 20, 2025",163.82,167.03,163.14,165.05,165.05,19981500
"Mar 19, 2025",163.91,168.13,163.05,166.28,166.28,24955700
"Mar 18, 2025",165.96,166.44,158.8,162.67,162.67,24616800
"Mar 17, 2025",167.32,168.46,165.81,166.57,166.57,17839100
"Mar 14, 2025",165.32,168.25,164.51,167.62,167.62,18611100
"Mar 13, 2025",167.98,168.12,164.07,164.73,164.73,15206200
"Mar 12, 2025",168.47,169.53,165.48,169,169,19880100
"Mar 11, 2025",166.68,168.65,163.24,165.98,165.98,23705900
"Mar 10, 2025",170.16,170.45,165.57,167.81,167.81,28990700
"Mar 7, 2025",173.24,176.9,172.25,175.75,175.55,16395300
"Mar 6, 2025",172.55,176.73,172.51,174.21,174.01,19082400
"Mar 5, 2025",172.32,175.75,170.93,174.99,174.79,18848000
"Mar 4, 2025",167.94,175.16,167.54,172.61,172.41,30711400
"Mar 3, 2025",173.73,175,167.64,168.66,168.47,24122000
"Feb 28, 2025",170.3,172.5,168.39,172.22,172.02,30049800
"Feb 27, 2025",175.94,176.59,169.75,170.21,170.02,25930500
"Feb 26, 2025",176.95,178.08,173.59,174.7,174.5,23637200
"Feb 25, 2025",180.15,180.76,176.77,177.37,177.17,20832500
"Feb 24, 2025",183.8,185.09,180.88,181.19,180.98,18734000
"Feb 21, 2025",187.29,187.47,181.13,181.58,181.37,19520800
"Feb 20, 2025",186.5,187.12,184.6,186.64,186.43,12063800
"Feb 19, 2025",186.18,187.36,185.5,187.13,186.92,13120500
"Feb 18, 2025",187.44,187.78,183.58,185.8,185.59,19796000
"Feb 14, 2025",186.83,188.15,186.11,186.87,186.66,12714200
"Feb 13, 2025",185.93,187.99,184.88,187.88,187.67,12729300
"Feb 12, 2025",185.23,186.83,183.63,185.43,185.22,17632300
"Feb 11, 2025",186.84,188.8,186.08,187.07,186.86,13028100
"Feb 10, 2025",189.06,189.99,187.61,188.2,187.99,16606000
"Feb 7, 2025",192.74,193.01,185.1,187.14,186.93,29565700
"Feb 6, 2025",190.99,193.83,190.49,193.31,193.09,20816600
"Feb 5, 2025",193.1,194.55,189.91,193.3,193.08,43666400
"Feb 4, 2025",204.5,208.7,204.26,207.71,207.47,28285400
"Feb 3, 2025",202.21,205.22,201.66,202.64,202.41,16719500
"Jan 31, 2025",203.71,207.08,203.58,205.6,205.37,17087300
"Jan 30, 2025",199.76,203.24,199.47,202.63,202.4,14571500
"Jan 29, 2025",197.37,198.46,195.19,197.18,196.96,12287800
"Jan 28, 2025",194.65,197.23,192.61,197.07,196.85,15939200
"Jan 27, 2025",194.19,198.67,192.7,193.77,193.55,24970200
"Jan 24, 2025",199.85,202.57,199.78,201.9,201.67,12732400
"Jan 23, 2025",199.98,201.94,196.82,199.58,199.35,15170800
"Jan 22, 2025",200.55,202.12,199.2,200.03,199.8,15477400
"Jan 21, 2025",200.51,203.84,199.44,199.63,199.4,19005200
"Jan 17, 2025",198.05,198.81,195.31,197.55,197.33,22109100
"Jan 16, 2025",195.82,196.98,194.3,194.41,194.19,13449600
"Jan 15, 2025",194.35,197.8,193.33,196.98,196.76,12894900
"Jan 14, 2025",192.5,193.27,189.64,191.05,190.83,13651200
"Jan 13, 2025",191.35,192.49,188.66,192.29,192.07,13169100
"Jan 10, 2025",195.42,197.62,191.6,193.17,192.95,20753800
"Jan 8, 2025",193.95,197.64,193.75,195.39,195.17,14335300
"Jan 7, 2025",198.27,202.14,195.94,196.71,196.49,16966800
"Jan 6, 2025",195.15,199.56,195.06,197.96,197.73,19483300
"Jan 3, 2025",192.73,194.5,191.35,193.13,192.91,12875000
"Jan 2, 2025",191.49,193.2,188.71,190.63,190.41,17545200
"Dec 31, 2024",192.45,193.25,189.58,190.44,190.22,14355200
"Dec 30, 2024",190.87,193.78,190.36,192.69,192.47,12209500
"Dec 27, 2024",196.47,196.8,191.97,194.04,193.82,14693000
"Dec 26, 2024",196.74,198.16,195.87,197.1,196.88,7907900
"Dec 24, 2024",196.17,197.67,195.2,197.57,197.35,6809800
"Dec 23, 2024",194.03,196.49,191.63,195.99,195.77,15235900
"Dec 20, 2024",187.01,194.13,186.37,192.96,192.74,45319700
"Dec 19, 2024",193.28,194.6,189.52,189.7,189.48,26981200
"Dec 18, 2024",196.83,198.69,189.28,190.15,189.93,27638400
"Dec 17, 2024",198.53,202.88,196.69,197.12,196.9,24129500
"Dec 16, 2024",194.37,200.64,194.11,198.16,197.93,32248600
"Dec 13, 2024",192.71,194.34,191.26,191.38,191.16,18883200
"Dec 12, 2024",196.3,196.71,193.28,193.63,193.41,25197800
"Dec 11, 2024",186.7,196.89,186.26,196.71,196.49,41664500
"Dec 10, 2024",184.54,188.03,182.67,186.53,186.32,34317400
"Dec 9, 2024",175.71,178.04,175.4,177.1,176.9,19887800
"Dec 6, 2024",173.88,176.84,173.55,176.49,176.09,13319500
"Dec 5, 2024",177.32,177.71,174.01,174.31,173.91,16145500
"Dec 4, 2024",172.78,176.43,172.75,176.09,175.69,18239800
"Dec 3, 2024",173.12,174.32,172.51,173.02,172.63,15721500
"Dec 2, 2024",170.32,173.6,170.27,172.98,172.59,16593400
"Nov 29, 2024",170.06,170.87,168.75,170.49,170.1,9250700
"Nov 27, 2024",170.68,171.14,169.67,170.82,170.43,12433400
"Nov 26, 2024",169.49,171.49,169.43,170.62,170.23,14937500
"Nov 25, 2024",167.99,170.46,167.4,169.43,169.05,21395700
"Nov 22, 2024",167.16,168.26,165.71,166.57,166.19,24497000
"Nov 21, 2024",175.46,175.58,165.31,169.24,168.86,38839400
"Nov 20, 2024",178.83,179.11,175.33,177.33,176.93,15729800
"Nov 19, 2024",175.24,180.17,175.12,179.58,179.17,15392900
"Nov 18, 2024",174.96,176.91,174.42,176.8,176.4,18725400
"Nov 15, 2024",175.64,175.88,172.74,173.89,173.5,21708900
"Nov 14, 2024",179.75,180.45,176.03,177.35,176.95,17925800
"Nov 13, 2024",182.15,182.62,180.12,180.49,180.08,13969700
"Nov 12, 2024",181.38,184.02,180.99,183.32,182.9,14065800
"Nov 11, 2024",180.07,182.09,179.99,181.97,181.56,12503400
"Nov 8, 2024",182,182.35,179.57,179.86,179.45,15021500
"Nov 7, 2024",179.11,182.58,178.89,182.28,181.87,16730400
"Nov 6, 2024",175.35,178.64,175.04,178.33,177.93,27061500
"Nov 5, 2024",170.83,172.1,170.37,171.41,171.02,12518300
"Nov 4, 2024",171.24,171.92,169.49,170.68,170.29,16194000
"Nov 1, 2024",171.54,173.82,170.31,172.65,172.26,21752900
"Oct 31, 2024",174.72,178.42,172.56,172.69,172.3,32801900
"Oct 30, 2024",182.41,183.79,175.74,176.14,175.74,49698300
"Oct 29, 2024",169.38,171.86,168.66,171.14,170.75,28916100
"Oct 28, 2024",170.59,170.61,165.79,168.34,167.96,20858300
"Oct 25, 2024",165.37,167.4,165.23,166.99,166.61,14566400
"Oct 24, 2024",164.59,165.05,162.77,164.53,164.16,12764400
"Oct 23, 2024",166.43,167.6,163.63,164.48,164.11,12754300
"Oct 22, 2024",164.7,167.47,164.67,166.82,166.44,11958600
"Oct 21, 2024",164.58,166.22,164.3,165.8,165.42,11384000
"Oct 18, 2024",164.87,166.37,164.75,165.05,164.68,13091300
"Oct 17, 2024",167.38,167.93,164.37,164.51,164.14,15113400
"Oct 16, 2024",166.03,167.28,165.22,166.74,166.36,9968500
"Oct 15, 2024",167.14,169.09,166.05,166.9,166.52,14829300
"Oct 14, 2024",164.91,167.62,164.78,166.35,165.97,9981800
"Oct 11, 2024",163.33,165.27,162.5,164.52,164.15,10946000
"Oct 10, 2024",162.11,164.31,161.64,163.18,162.81,12900500
"Oct 9, 2024",164.85,166.26,161.12,163.06,162.69,19666400
"Oct 8, 2024",165.43,166.1,164.31,165.7,165.32,11723900
"Oct 7, 2024",169.14,169.9,164.13,164.39,164.02,14034700
"Oct 4, 2024",169.34,169.55,166.96,168.56,168.18,11422100
"Oct 3, 2024",165.82,167.91,165.37,167.21,166.83,11004300
"Oct 2, 2024",167.76,168.88,166.25,167.31,166.93,12745000
"Oct 1, 2024",168.86,170.44,165.9,168.42,168.04,18629500
"Sep 30, 2024",164.78,167.36,164.64,167.19,166.81,14070100
"Sep 27, 2024",163.91,166.97,163.83,165.29,164.91,13604300
