Date,Open,High,Low,Close,Adj Close ,Volume
"Apr 17, 2025",243.47,244.34,237.68,241.37,241.37,83204700
"Apr 16, 2025",247.61,251.97,233.89,241.55,241.55,112378700
"Apr 15, 2025",249.91,258.75,247.54,254.11,254.11,79594300
"Apr 14, 2025",258.36,261.8,245.93,252.35,252.35,100135200
"Apr 11, 2025",251.84,257.74,241.36,252.31,252.31,128948100
"Apr 10, 2025",260,262.49,239.33,252.4,252.4,181722600
"Apr 9, 2025",224.69,274.69,223.88,272.2,272.2,219433400
"Apr 8, 2025",245,250.44,217.8,221.86,221.86,171603500
"Apr 7, 2025",223.78,252,214.25,233.29,233.29,183453800
"Apr 4, 2025",255.38,261,236,239.43,239.43,181229400
"Apr 3, 2025",265.29,276.3,261.51,267.28,267.28,136174300
"Apr 2, 2025",254.6,284.99,251.27,282.76,282.76,212787800
"Apr 1, 2025",263.8,277.45,259.25,268.46,268.46,146486900
"Mar 31, 2025",249.31,260.56,243.36,259.16,259.16,134008900
"Mar 28, 2025",275.58,276.1,260.57,263.55,263.55,123809400
"Mar 27, 2025",272.48,291.85,271.82,273.13,273.13,162572100
"Mar 26, 2025",282.66,284.9,266.51,272.06,272.06,153629800
"Mar 25, 2025",283.6,288.2,271.28,288.14,288.14,150361500
"Mar 24, 2025",258.08,278.64,256.33,278.39,278.39,169079900
"Mar 21, 2025",234.99,249.52,234.55,248.71,248.71,132728700
"Mar 20, 2025",233.35,238,230.05,236.26,236.26,99028300
"Mar 19, 2025",231.61,241.41,229.2,235.86,235.86,111993800
"Mar 18, 2025",228.16,230.1,222.28,225.31,225.31,111477600
"Mar 17, 2025",245.06,245.4,232.8,238.01,238.01,111900600
"Mar 14, 2025",247.31,251.58,240.73,249.98,249.98,100242300
"Mar 13, 2025",248.13,248.29,232.6,240.68,240.68,114813500
"Mar 12, 2025",247.22,251.84,241.1,248.09,248.09,142215700
"Mar 11, 2025",225.31,237.06,217.02,230.58,230.58,174896400
"Mar 10, 2025",252.54,253.37,220,222.15,222.15,189076900
"Mar 7, 2025",259.32,266.25,250.73,262.67,262.67,102369600
"Mar 6, 2025",272.06,272.65,260.02,263.45,263.45,98451600
"Mar 5, 2025",272.92,279.55,267.71,279.1,279.1,94042900
"Mar 4, 2025",270.93,284.35,261.84,272.04,272.04,126706600
"Mar 3, 2025",300.34,303.94,277.3,284.65,284.65,115551400
"Feb 28, 2025",279.5,293.88,273.6,292.98,292.98,115697000
"Feb 27, 2025",291.16,297.23,280.88,281.95,281.95,101748200
"Feb 26, 2025",303.71,309,288.04,290.8,290.8,100118300
"Feb 25, 2025",327.02,328.89,297.25,302.8,302.8,134228800
"Feb 24, 2025",338.14,342.4,324.7,330.53,330.53,76052300
"Feb 21, 2025",353.44,354.98,334.42,337.8,337.8,74058600
"Feb 20, 2025",361.51,362.3,348,354.4,354.4,45965400
"Feb 19, 2025",354,367.34,353.67,360.56,360.56,67094400
"Feb 18, 2025",355.01,359.1,350.02,354.11,354.11,51631700
"Feb 14, 2025",360.62,362,347.5,355.84,355.84,68277300
"Feb 13, 2025",345,358.69,342.85,355.94,355.94,89441500
"Feb 12, 2025",329.94,346.4,329.12,336.51,336.51,105382700
"Feb 11, 2025",345.8,349.37,325.1,328.5,328.5,118543400
"Feb 10, 2025",356.21,362.7,350.51,350.73,350.73,77514900
"Feb 7, 2025",370.19,380.55,360.34,361.62,361.62,70298300
