Date,Open,High,Low,Close,Adj Close ,Volume
"Apr 17, 2025",373.75,374.32,366.89,367.78,367.78,20943700
"Apr 16, 2025",380.67,381.61,368,371.61,371.61,21967800
"Apr 15, 2025",388.51,391.89,384.16,385.73,385.73,17199900
"Apr 14, 2025",393.22,394.65,384.21,387.81,387.81,19251200
"Apr 11, 2025",380.64,390.05,378.89,388.45,388.45,23839200
"Apr 10, 2025",382.06,383.9,367.8,381.35,381.35,38024400
"Apr 9, 2025",353.54,393.23,353.1,390.49,390.49,50199700
"Apr 8, 2025",368.26,373.65,350.25,354.56,354.56,35868900
"Apr 7, 2025",350.88,371,344.79,357.86,357.86,50425000
"Apr 4, 2025",364.13,374.59,359.48,359.84,359.84,49209900
"Apr 3, 2025",374.79,377.48,369.35,373.11,373.11,30198000
"Apr 2, 2025",377.97,385.08,376.62,382.14,382.14,16092600
"Apr 1, 2025",374.65,382.85,373.23,382.19,382.19,19689500
"Mar 31, 2025",372.54,377.07,367.24,375.39,375.39,35184700
"Mar 28, 2025",388.08,389.13,376.93,378.8,378.8,21632000
"Mar 27, 2025",390.13,392.24,387.4,390.58,390.58,13766800
"Mar 26, 2025",395,395.31,388.57,389.97,389.97,16108400
"Mar 25, 2025",393.92,396.36,392.64,395.16,395.16,15775000
"Mar 24, 2025",395.4,395.4,389.81,393.08,393.08,21004500
"Mar 21, 2025",383.22,391.74,382.8,391.26,391.26,39675900
"Mar 20, 2025",385.74,391.79,383.28,386.84,386.84,18470500
"Mar 19, 2025",385.53,389.68,384,387.82,387.82,19185500
"Mar 18, 2025",387.07,387.37,381.1,383.52,383.52,19486900
"Mar 17, 2025",386.7,392.71,385.57,388.7,388.7,22474300
"Mar 14, 2025",379.78,390.23,379.51,388.56,388.56,19952800
"Mar 13, 2025",383.16,385.32,377.45,378.77,378.77,20473000
"Mar 12, 2025",382.95,385.22,378.95,383.27,383.27,24253600
"Mar 11, 2025",379,386,376.91,380.45,380.45,30380200
"Mar 10, 2025",385.84,386.4,377.22,380.16,380.16,32840100
"Mar 7, 2025",392.32,394.8,385.54,393.31,393.31,22034100
"Mar 6, 2025",394.28,402.15,392.68,396.89,396.89,23304600
"Mar 5, 2025",389.34,401.67,388.81,401.02,401.02,23433100
"Mar 4, 2025",383.4,392.58,381,388.61,388.61,29342900
"Mar 3, 2025",398.82,398.82,386.16,388.49,388.49,23007700
"Feb 28, 2025",392.66,397.63,386.57,396.99,396.99,32845700
"Feb 27, 2025",401.27,405.74,392.17,392.53,392.53,21127400
"Feb 26, 2025",398.01,403.6,394.25,399.73,399.73,19619000
"Feb 25, 2025",401.1,401.92,396.7,397.9,397.9,29387400
"Feb 24, 2025",408.51,409.37,399.32,404,404,26443700
"Feb 21, 2025",417.34,418.05,407.89,408.21,408.21,27524800
"Feb 20, 2025",415.29,419.31,412.54,416.13,416.13,23508700
"Feb 19, 2025",407.88,415.49,407.65,414.77,413.94,24114200
"Feb 18, 2025",408,410.6,406.5,409.64,408.82,21423100
"Feb 14, 2025",407.79,408.91,405.88,408.43,407.61,22758500
"Feb 13, 2025",407,411,406.36,410.54,409.72,23891700
"Feb 12, 2025",407.21,410.75,404.37,409.04,408.22,19121700
"Feb 11, 2025",409.64,412.49,409.3,411.44,410.62,18140600
"Feb 10, 2025",413.71,415.46,410.92,412.22,411.4,20817900
"Feb 7, 2025",416.48,418.65,408.1,409.75,408.93,22886800
"Feb 6, 2025",414,418.2,414,415.82,414.99,16309800
"Feb 5, 2025",412.35,413.83,410.4,413.29,412.46,16316700
"Feb 4, 2025",412.69,413.92,409.74,412.37,411.54,20532100
"Feb 3, 2025",411.6,415.41,408.66,410.92,410.1,25679100
"Jan 31, 2025",418.98,420.69,414.91,415.06,414.23,34223400
"Jan 30, 2025",418.77,422.86,413.16,414.99,414.16,54586300
"Jan 29, 2025",446.69,446.88,440.4,442.33,441.44,23581400
"Jan 28, 2025",434.6,448.38,431.38,447.2,446.31,23491700
"Jan 27, 2025",424.01,435.2,423.5,434.56,433.69,35647800
"Jan 24, 2025",445.16,446.65,441.4,444.06,443.17,15549500
"Jan 23, 2025",442,446.75,441.5,446.71,445.82,18389300
"Jan 22, 2025",437.56,447.27,436,446.2,445.31,27803800
"Jan 21, 2025",430.2,430.9,425.6,428.5,427.64,26085700
"Jan 17, 2025",434.09,434.48,428.17,429.03,428.17,26197500
"Jan 16, 2025",428.7,429.49,424.39,424.58,423.73,15300000
"Jan 15, 2025",419.13,428.15,418.27,426.31,425.46,19637800
"Jan 14, 2025",417.81,419.74,410.72,415.67,414.84,16935900
"Jan 13, 2025",415.24,418.5,412.29,417.19,416.36,17604800
"Jan 10, 2025",424.63,424.71,415.02,418.95,418.11,20201100
"Jan 8, 2025",423.46,426.97,421.54,424.56,423.71,15054600
"Jan 7, 2025",429,430.65,420.8,422.37,421.52,18139100
"Jan 6, 2025",428,434.32,425.48,427.85,426.99,20573600
"Jan 3, 2025",421.08,424.03,419.54,423.35,422.5,16662900
"Jan 2, 2025",425.53,426.07,414.85,418.58,417.74,16896500
"Dec 31, 2024",426.1,426.73,420.66,421.5,420.66,13246500
"Dec 30, 2024",426.06,427.55,421.9,424.83,423.98,13158700
"Dec 27, 2024",434.6,435.22,426.35,430.53,429.67,18117700
"Dec 26, 2024",439.08,440.94,436.63,438.11,437.23,8194200
"Dec 24, 2024",434.65,439.6,434.19,439.33,438.45,7164500
